,Pros,answer_re,answer_re_oth,answer_re_n
2729,"It's established and will always have business so they don't cut when times get tough - it's relatively ""safe"" if such thing still exists. The compensation is good, the overall package is great I think having worked at smaller and very small companies. (401K match, discounts, etc.) It's pretty much 9-5 - so it gives a great quality of life even though some people may complain - but the grass is always greener, right? It is a good place to work and have a balanced life. It is, seriously.","It's established and will always have business so they don't cut when times get tough - it's relatively ""safe"" if such thing still exists. The compensation is good, the overall package is great I think having worked at smaller and very small companies. (K match, discounts, etc.) It's pretty much - - so it gives a great quality of life even though some people may complain - but the grass is always greener, right? It is a good place to work and have a balanced life. It is, seriously.",it s established and will always have business so they don t cut when times get tough it s relatively safe if such thing still exists the compensation is good the overall package is great i think having worked at smaller and very small companies k match discounts etc it s pretty much so it gives a great quality of life even though some people may complain but the grass is always greener right it is a good place to work and have a balanced life it is seriously ,"place, people, work, compensation, great"
2730,Great Work-Life Balance Widely recognized company brand,Great Work-Life Balance Widely recognized company brand,great work life balance widely recognized company brand,company
2731,The healthcare/dental plan is very good.,The healthcare/dental plan is very good.,the healthcare dental plan is very good ,
2732,"Good work hours, you won't be stressed often. The people are down to earth. You can get out at 5 PM almost everyday, and you better get out at 5 PM too... I mean you're wasting your life if you stay much later than that.","Good work hours, you won't be stressed often. The people are down to earth. You can get out at PM almost everyday, and you better get out at PM too... I mean you're wasting your life if you stay much later than that.",good work hours you won t be stressed often the people are down to earth you can get out at pm almost everyday and you better get out at pm too i mean you re wasting your life if you stay much later than that ,"work, people"
2733,"The best part of work at S&P is the work life balance. At 5PM, the elevators are packed tighter than the New York City Subway at rush hour.","The best part of work at S&P is the work life balance. At PM, the elevators are packed tighter than the New York City Subway at rush hour.",the best part of work at s p is the work life balance at pm the elevators are packed tighter than the new york city subway at rush hour ,work
2734,The people and the environment in my group are friendly. Encouraging to do better work.,The people and the environment in my group are friendly. Encouraging to do better work.,the people and the environment in my group are friendly encouraging to do better work ,"environment, people"
2735,Work/life balance is excellent. Great pay for the work. The hours are great. The management is attentive. Good place to work if you just want a steady job with good pay.,Work/life balance is excellent. Great pay for the work. The hours are great. The management is attentive. Good place to work if you just want a steady job with good pay.,work life balance is excellent great pay for the work the hours are great the management is attentive good place to work if you just want a steady job with good pay ,"balance, place, management, pay, work, hours"
2736,Great work like balance Potential to grow Excellent mentoring and training,Great work like balance Potential to grow Excellent mentoring and training,great work like balance potential to grow excellent mentoring and training,"work, balance"
2737,"Location, Work Schedule, Transportation, Cafeteria, Nothing else","Location, Work Schedule, Transportation, Cafeteria, Nothing else",location work schedule transportation cafeteria nothing else,
2738,"As Standard & Poor's celebrates its 150th year of empowering investors, the key to rebuilding its market position lies in our credit risk benchmark.","As Standard & Poor's celebrates its th year of empowering investors, the key to rebuilding its market position lies in our credit risk benchmark.",as standard poor s celebrates its th year of empowering investors the key to rebuilding its market position lies in our credit risk benchmark ,
2739,"Work hours, less pressure than investment banks.","Work hours, less pressure than investment banks.",work hours less pressure than investment banks ,pressure
2740,Salary is partially determined by cost of living where your office is located. Company participates in a community service day.,Salary is partially determined by cost of living where your office is located. Company participates in a community service day.,salary is partially determined by cost of living where your office is located company participates in a community service day ,
2741,Great brand recognition Excellent products Great client base,Great brand recognition Excellent products Great client base,great brand recognition excellent products great client base,
2742,"Work/Life Balance, Interesting Work, Great Colleagues","Work/Life Balance, Interesting Work, Great Colleagues",work life balance interesting work great colleagues,
2743,Good work life balance collegial staff,Good work life balance collegial staff,good work life balance collegial staff,"work, balance"
2744,It is a great place to work. The Senior Management is competent and ensures that employees put in their best and are rewarded accordingly. Quality of Work is good. I am Proud to be doing an Internship at S&P.,It is a great place to work. The Senior Management is competent and ensures that employees put in their best and are rewarded accordingly. Quality of Work is good. I am Proud to be doing an Internship at S&P.,it is a great place to work the senior management is competent and ensures that employees put in their best and are rewarded accordingly quality of work is good i am proud to be doing an internship at s p ,"place, great"
2745,"Easy going environment, good location in down town Manhattan","Easy going environment, good location in down town Manhattan",easy going environment good location in down town manhattan,
2746,They compensate you fairly and have a work day of 9 to 5.,They compensate you fairly and have a work day of to .,they compensate you fairly and have a work day of to ,work
2747,A lot on your plate to do with as part of the technical team. Many layers of projects that could be useful and interesting to work on.,A lot on your plate to do with as part of the technical team. Many layers of projects that could be useful and interesting to work on.,a lot on your plate to do with as part of the technical team many layers of projects that could be useful and interesting to work on ,work
2748,"Standard and Poor's has a good brand name and human resource development, stable and dependable workforce.","Standard and Poor's has a good brand name and human resource development, stable and dependable workforce.",standard and poor s has a good brand name and human resource development stable and dependable workforce ,
2749,"Good work environment, nice people, and reasonable work hours compared to other financial services companies.","Good work environment, nice people, and reasonable work hours compared to other financial services companies.",good work environment nice people and reasonable work hours compared to other financial services companies ,"work, hours"
2750,you are always right in what you say,you are always right in what you say,you are always right in what you say,
2751,"As an oligopoly (the Credit Ratings business), S&P can still afford to pay people fairly well and provide decent benefits. If the dominance of the big 3 CRAs begins to fade (which it is) and eventually becomes a thing of the past, this company is dead as a doornail since it has no ability to re-invent itself.","As an oligopoly (the Credit Ratings business), S&P can still afford to pay people fairly well and provide decent benefits. If the dominance of the big CRAs begins to fade (which it is) and eventually becomes a thing of the past, this company is dead as a doornail since it has no ability to re-invent itself.",as an oligopoly the credit ratings business s p can still afford to pay people fairly well and provide decent benefits if the dominance of the big cras begins to fade which it is and eventually becomes a thing of the past this company is dead as a doornail since it has no ability to re invent itself ,"company, pay, people"
2752,This is a group of very smart and dedicated people who take their work (and the consequences of their work) very seriously. The work/life balance is good and the benefits are excellent.,This is a group of very smart and dedicated people who take their work (and the consequences of their work) very seriously. The work/life balance is good and the benefits are excellent.,this is a group of very smart and dedicated people who take their work and the consequences of their work very seriously the work life balance is good and the benefits are excellent ,"balance, people, smart, work, benefits"
2753,"amazing environment, great management , convenient location","amazing environment, great management , convenient location",amazing environment great management convenient location,"management, great"
2754,Good benefits and intelligent people,Good benefits and intelligent people,good benefits and intelligent people,"benefits, people"
2755,"Good work-life balance Opportunity to assume early responsibility for juniors Decent compensation although, indeed, not as much as real IB environment On-going training and development","Good work-life balance Opportunity to assume early responsibility for juniors Decent compensation although, indeed, not as much as real IB environment On-going training and development",good work life balance opportunity to assume early responsibility for juniors decent compensation although indeed not as much as real ib environment on going training and development,"compensation, environment, balance"
2756,"1. Knowledge across the organization is abundant and plentiful if you just pursue learning objectives. 2. Everyone is pretty friendly 3. Hours are really good compared to the industry 4. McGraw-Hill, the parent company has a great benefits package",". Knowledge across the organization is abundant and plentiful if you just pursue learning objectives. . Everyone is pretty friendly . Hours are really good compared to the industry . McGraw-Hill, the parent company has a great benefits package", knowledge across the organization is abundant and plentiful if you just pursue learning objectives everyone is pretty friendly hours are really good compared to the industry mcgraw hill the parent company has a great benefits package,"company, friendly, benefits, great"
2757,"Good ambiance, and interesting work","Good ambiance, and interesting work",good ambiance and interesting work,work
2758,Great work Life Balance. so so Salary. Very good People. Good opportunities to interact with senior management at leading companies.,Great work Life Balance. so so Salary. Very good People. Good opportunities to interact with senior management at leading companies.,great work life balance so so salary very good people good opportunities to interact with senior management at leading companies ,"senior, work, management"
2759,"Solid benefits package, ample time off, hands-off management, good opportunities for education and job growth.","Solid benefits package, ample time off, hands-off management, good opportunities for education and job growth.",solid benefits package ample time off hands off management good opportunities for education and job growth ,benefits
2760,Flexible and balanced work/life If in union get paid overtime,Flexible and balanced work/life If in union get paid overtime,flexible and balanced work life if in union get paid overtime,
2761,Young smart employees at S&P,Young smart employees at S&P,young smart employees at s p,smart
2762,Great access to knowledge fantastic training,Great access to knowledge fantastic training,great access to knowledge fantastic training,
2763,"family friendly environment, friendly co-workers, flexible hours/days","family friendly environment, friendly co-workers, flexible hours/days",family friendly environment friendly co workers flexible hours days,"flexible, friendly"
2764,"Interesting work, great client base","Interesting work, great client base",interesting work great client base,great
2765,- Friendly and casual environment - No amount of intense pressure from higher ups - Upper management is very helpful and open to ideas and suggestions,- Friendly and casual environment - No amount of intense pressure from higher ups - Upper management is very helpful and open to ideas and suggestions, friendly and casual environment no amount of intense pressure from higher ups upper management is very helpful and open to ideas and suggestions,"management, environment, pressure"
2766,Great brand for credit analysis. Analysts are very professional and knowledgeable but approachable. Working atmosphere is much better than in banks + nice office. You get to travel in many places and have high level professional contacts. Fixed salaries now in line with the market.,Great brand for credit analysis. Analysts are very professional and knowledgeable but approachable. Working atmosphere is much better than in banks + nice office. You get to travel in many places and have high level professional contacts. Fixed salaries now in line with the market.,great brand for credit analysis analysts are very professional and knowledgeable but approachable working atmosphere is much better than in banks nice office you get to travel in many places and have high level professional contacts fixed salaries now in line with the market ,
2767,"The people that I worked with are great and generally, S&P is a fantastic place to intern.","The people that I worked with are great and generally, S&P is a fantastic place to intern.",the people that i worked with are great and generally s p is a fantastic place to intern ,"great, place, people"
2768,Work/Life balance - getting out at 5 or 5:30 is possible without getting frowned upon; great colleagues; laid-back atmosphere; spirit of independence.,Work/Life balance - getting out at or : is possible without getting frowned upon; great colleagues; laid-back atmosphere; spirit of independence.,work life balance getting out at or is possible without getting frowned upon great colleagues laid back atmosphere spirit of independence ,"balance, great"
2769,-Good people -Good structure -Easy hours compared to rest of industry -Strong reputation -Good benefits plan -Good location in New York,-Good people -Good structure -Easy hours compared to rest of industry -Strong reputation -Good benefits plan -Good location in New York, good people good structure easy hours compared to rest of industry strong reputation good benefits plan good location in new york,"hours, benefits, people"
2770,Fairness & Respect 3.0 Communication 3.0 Senior Leadership 3.0 Work/Life Balance 3.0 Employee Morale 3.0 Recognition & Feedback 3.0 Compensation & Benefits 3.0 Career Opportunities 3.0,Fairness & Respect . Communication . Senior Leadership . Work/Life Balance . Employee Morale . Recognition & Feedback . Compensation & Benefits . Career Opportunities .,fairness respect communication senior leadership work life balance employee morale recognition feedback compensation benefits career opportunities ,
2771,Standard and Poor's provides great opportunities to do great things with great people for those who find their way into the right groups. Challenging work. A few great leaders.,Standard and Poor's provides great opportunities to do great things with great people for those who find their way into the right groups. Challenging work. A few great leaders.,standard and poor s provides great opportunities to do great things with great people for those who find their way into the right groups challenging work a few great leaders ,"great, people"
2772,"Great work/life flexibility (opportunities to work at home, flex time, a true 9-5 atmosphere) If you do a good job, there is little to no micro-managing Great place to stay if you are happy staying in the same job/level the rest of your life","Great work/life flexibility (opportunities to work at home, flex time, a true - atmosphere) If you do a good job, there is little to no micro-managing Great place to stay if you are happy staying in the same job/level the rest of your life",great work life flexibility opportunities to work at home flex time a true atmosphere if you do a good job there is little to no micro managing great place to stay if you are happy staying in the same job level the rest of your life,"work, place"
2773,"Flexible schedule, 3 weeks for paternity leave, solid brand name","Flexible schedule, weeks for paternity leave, solid brand name",flexible schedule weeks for paternity leave solid brand name,
2774,-collegial working environment -can be in a good position to learn,-collegial working environment -can be in a good position to learn, collegial working environment can be in a good position to learn,"environment, working"
2775,"Good Work/ Life Balance, Good salary since prior to Aug 2008 margins were good. Very understanding employees , easy to get along with. Good analytical work.","Good Work/ Life Balance, Good salary since prior to Aug margins were good. Very understanding employees , easy to get along with. Good analytical work.",good work life balance good salary since prior to aug margins were good very understanding employees easy to get along with good analytical work ,salary
2776,There is a good work life balance. Health benefits are good.,There is a good work life balance. Health benefits are good.,there is a good work life balance health benefits are good ,"work, benefits"
2777,"Good work/life balance, well-known company, good job right out of college","Good work/life balance, well-known company, good job right out of college",good work life balance well known company good job right out of college,
2778,"Low-stress, good hours, nice, friendly people, pretty good salary, exposure to learn about financial markets, child friendly, good employee training programs in various areas.","Low-stress, good hours, nice, friendly people, pretty good salary, exposure to learn about financial markets, child friendly, good employee training programs in various areas.",low stress good hours nice friendly people pretty good salary exposure to learn about financial markets child friendly good employee training programs in various areas ,friendly
2779,"Generous vacation package, little overtime required, ample opportunity to get published, good tuition reimbursement program.","Generous vacation package, little overtime required, ample opportunity to get published, good tuition reimbursement program.",generous vacation package little overtime required ample opportunity to get published good tuition reimbursement program ,
2780,"1) Very good place to start your career: offers a lot to build your skills and knowledge 2) Very respected brand name in India, which adds weight to one's resume 3) Merit-based growth offered to employees although sometimes favoritism does cloud some management decisions 4) Great work culture: very friendly, supportive co-workers",") Very good place to start your career: offers a lot to build your skills and knowledge ) Very respected brand name in India, which adds weight to one's resume ) Merit-based growth offered to employees although sometimes favoritism does cloud some management decisions ) Great work culture: very friendly, supportive co-workers", very good place to start your career offers a lot to build your skills and knowledge very respected brand name in india which adds weight to one s resume merit based growth offered to employees although sometimes favoritism does cloud some management decisions great work culture very friendly supportive co workers,"work, management, place"
2781,Great balance with work and life Still interesting work Top places to work for working moms Great people to work with,Great balance with work and life Still interesting work Top places to work for working moms Great people to work with,great balance with work and life still interesting work top places to work for working moms great people to work with,"work, balance, people, working"
2782,"work/life balance doesnt burn you out easy hours with very limited overtime good vacation policy, including personal days laid back atmosphere","work/life balance doesnt burn you out easy hours with very limited overtime good vacation policy, including personal days laid back atmosphere",work life balance doesnt burn you out easy hours with very limited overtime good vacation policy including personal days laid back atmosphere,"hours, balance"
2783,Great autonomy. No pressure. great staff. An overall great place to work especially those on the analytical path,Great autonomy. No pressure. great staff. An overall great place to work especially those on the analytical path,great autonomy no pressure great staff an overall great place to work especially those on the analytical path,"work, place, great"
2784,"Very good work/life balance and a relatively decent comprehensive benefits package. If you want to take off for the day @ 5:00pm you can without hearing any grief. For the most part the majority of the rank n' file as well as mid-level mgmt are good people, who mean well, and are generally easy to work with.","Very good work/life balance and a relatively decent comprehensive benefits package. If you want to take off for the day @ :pm you can without hearing any grief. For the most part the majority of the rank n' file as well as mid-level mgmt are good people, who mean well, and are generally easy to work with.",very good work life balance and a relatively decent comprehensive benefits package if you want to take off for the day pm you can without hearing any grief for the most part the majority of the rank n file as well as mid level mgmt are good people who mean well and are generally easy to work with ,"work, balance, benefits"
2785,"It's not a bad place to start or end a career. Growth opportunities are available, but you have to go out and find them yourself. Good place to gain industry knowledge in a low pressure environment.","It's not a bad place to start or end a career. Growth opportunities are available, but you have to go out and find them yourself. Good place to gain industry knowledge in a low pressure environment.",it s not a bad place to start or end a career growth opportunities are available but you have to go out and find them yourself good place to gain industry knowledge in a low pressure environment ,"pressure, place"
2786,Work with nice people. Decent exposure to the industry.,Work with nice people. Decent exposure to the industry.,work with nice people decent exposure to the industry ,
2787,decent work-life balance; great coworkers; challenging job; great exposure to the market; decent training,decent work-life balance; great coworkers; challenging job; great exposure to the market; decent training,decent work life balance great coworkers challenging job great exposure to the market decent training,great
2788,"Great emphasis on employee's work- life balance (especially for women, McGraw Hill has been ranked top 10 places for women to work for last 5 consecutive years). Plenty of training classes for self-improvements. Collegial working environment.","Great emphasis on employee's work- life balance (especially for women, McGraw Hill has been ranked top places for women to work for last consecutive years). Plenty of training classes for self-improvements. Collegial working environment.",great emphasis on employee s work life balance especially for women mcgraw hill has been ranked top places for women to work for last consecutive years plenty of training classes for self improvements collegial working environment ,"work, balance, working"
2789,"excellent work/life balance - 9-5 position friendly, teamwork oriented atmosphere easy to move between departments personal and vacation time often granted","excellent work/life balance - - position friendly, teamwork oriented atmosphere easy to move between departments personal and vacation time often granted",excellent work life balance position friendly teamwork oriented atmosphere easy to move between departments personal and vacation time often granted,balance
2790,"Great people to work with and a supportive and positive culture. Good benefits, e.g. gym subsidy and both management and employees are able to enjoy a healthy work-life balance.","Great people to work with and a supportive and positive culture. Good benefits, e.g. gym subsidy and both management and employees are able to enjoy a healthy work-life balance.",great people to work with and a supportive and positive culture good benefits e g gym subsidy and both management and employees are able to enjoy a healthy work life balance ,"work, management, people"
2791,Nice views from the top floors Benefits are reasonable Very easy to slack off every day Not much work gets done,Nice views from the top floors Benefits are reasonable Very easy to slack off every day Not much work gets done,nice views from the top floors benefits are reasonable very easy to slack off every day not much work gets done,work
2792,"During the boom times, hard work was well rewarded and by and large staff viewed their work as a valuable contribution to tempering the excesses of the market.","During the boom times, hard work was well rewarded and by and large staff viewed their work as a valuable contribution to tempering the excesses of the market.",during the boom times hard work was well rewarded and by and large staff viewed their work as a valuable contribution to tempering the excesses of the market ,work
2793,"Lots of perks, great infrastructure and processes, good compensation scheme, good benefits even for non-perm staff. Would work there again.","Lots of perks, great infrastructure and processes, good compensation scheme, good benefits even for non-perm staff. Would work there again.",lots of perks great infrastructure and processes good compensation scheme good benefits even for non perm staff would work there again ,"great, compensation, work, benefits"
2794,it has a relaxing atmosphere and there are many diversified areas in which you can work and possibly move around.,it has a relaxing atmosphere and there are many diversified areas in which you can work and possibly move around.,it has a relaxing atmosphere and there are many diversified areas in which you can work and possibly move around ,work
2795,"Great benefits: - affordable and comprehensive medical, dental, vision - 401k, pension - adoption assistance - tuition reimbursement (Somewhat) flexible work schedule Opportunities for career advancement","Great benefits: - affordable and comprehensive medical, dental, vision - k, pension - adoption assistance - tuition reimbursement (Somewhat) flexible work schedule Opportunities for career advancement",great benefits affordable and comprehensive medical dental vision k pension adoption assistance tuition reimbursement somewhat flexible work schedule opportunities for career advancement,"work, flexible"
2796,"S&P provides an environment to learn and, with regard to the finance industry is not a pressure-cooker. It is as demanding as one wants it, probably less so.","S&P provides an environment to learn and, with regard to the finance industry is not a pressure-cooker. It is as demanding as one wants it, probably less so.",s p provides an environment to learn and with regard to the finance industry is not a pressure cooker it is as demanding as one wants it probably less so ,environment
2797,"Friendly working environment, not so stressful hours, lots of opportunities to get access to inside information","Friendly working environment, not so stressful hours, lots of opportunities to get access to inside information",friendly working environment not so stressful hours lots of opportunities to get access to inside information,working
2798,"Unlike other financial institutions, S&P offers you a relatively stress-free job, which you can complete within a 9-5 time frame.","Unlike other financial institutions, S&P offers you a relatively stress-free job, which you can complete within a - time frame.",unlike other financial institutions s p offers you a relatively stress free job which you can complete within a time frame ,
2799,Good place to learn if you are a self starter Reasonable work/life balance,Good place to learn if you are a self starter Reasonable work/life balance,good place to learn if you are a self starter reasonable work life balance,"balance, place"
2800,"-good reputable company -competitive wages -smart people, potentially could network -good experience if you can take advantage of cross-training -provides benefits","-good reputable company -competitive wages -smart people, potentially could network -good experience if you can take advantage of cross-training -provides benefits", good reputable company competitive wages smart people potentially could network good experience if you can take advantage of cross training provides benefits,"company, benefits"
2801,"Easy to be an achiever, good work/life balance.","Easy to be an achiever, good work/life balance.",easy to be an achiever good work life balance ,
2802,access to great company research,access to great company research,access to great company research,"great, company"
2803,Enjoying the camaraderie of all the young people hating his or her job. Lots of drinking after work to treat the pain.,Enjoying the camaraderie of all the young people hating his or her job. Lots of drinking after work to treat the pain.,enjoying the camaraderie of all the young people hating his or her job lots of drinking after work to treat the pain ,"work, people"
2804,"work/life. working from home. time off. 9-5. meeting F500 executives regularly. genuine people. no competition. best agency by far. these are actually the reasons I dislike the firm (except meeting CEOs & CFOs from some of the best companies in the world & the fact that S&P is THE rating agency.) but different people like different things. It is also still a pretty good stepping stone. If your GPA wasn't perfect or you're switching career tracks this might be a good place to start. Also, if you are an ex i-banker that wants to take it easy, this isn't a bad place.","work/life. working from home. time off. -. meeting F executives regularly. genuine people. no competition. best agency by far. these are actually the reasons I dislike the firm (except meeting CEOs & CFOs from some of the best companies in the world & the fact that S&P is THE rating agency.) but different people like different things. It is also still a pretty good stepping stone. If your GPA wasn't perfect or you're switching career tracks this might be a good place to start. Also, if you are an ex i-banker that wants to take it easy, this isn't a bad place.",work life working from home time off meeting f executives regularly genuine people no competition best agency by far these are actually the reasons i dislike the firm except meeting ceos cfos from some of the best companies in the world the fact that s p is the rating agency but different people like different things it is also still a pretty good stepping stone if your gpa wasn t perfect or you re switching career tracks this might be a good place to start also if you are an ex i banker that wants to take it easy this isn t a bad place ,"place, people, working"
2805,"You will get chance to work in all phases of software development cycle as well as all the parts for complete system like design, database, coding testing etc.","You will get chance to work in all phases of software development cycle as well as all the parts for complete system like design, database, coding testing etc.",you will get chance to work in all phases of software development cycle as well as all the parts for complete system like design database coding testing etc ,work
2806,Nice Work Environment Lot to learn,Nice Work Environment Lot to learn,nice work environment lot to learn,
2807,"They let you have ample free and family time, while offering very good expieriences. The company does not waste time in giving you responsiblity. If you show you are apt, you will get a lot of work very quickly. The downside is that you will get a lot of work in a very short period of time.","They let you have ample free and family time, while offering very good expieriences. The company does not waste time in giving you responsiblity. If you show you are apt, you will get a lot of work very quickly. The downside is that you will get a lot of work in a very short period of time.",they let you have ample free and family time while offering very good expieriences the company does not waste time in giving you responsiblity if you show you are apt you will get a lot of work very quickly the downside is that you will get a lot of work in a very short period of time ,"work, free, company"
2808,"The 55 water street location is good and the working environment is cozy. It is not too stressful working in this company, as long as you can deliver whatever assigned to you on time (which, in most of times, might not be as demanding as that in i-banks) . Working hours ranges from 8:30-9:30 to 5:30-6:30 and work/life balance here is good. Compensation is quite satisfactory in terms of base but not very good in bonus compared to other big financial names. Benefits is 75/100 imo. Overall, not a bad firm to work in.","The water street location is good and the working environment is cozy. It is not too stressful working in this company, as long as you can deliver whatever assigned to you on time (which, in most of times, might not be as demanding as that in i-banks) . Working hours ranges from :-: to :-: and work/life balance here is good. Compensation is quite satisfactory in terms of base but not very good in bonus compared to other big financial names. Benefits is / imo. Overall, not a bad firm to work in.",the water street location is good and the working environment is cozy it is not too stressful working in this company as long as you can deliver whatever assigned to you on time which in most of times might not be as demanding as that in i banks working hours ranges from to and work life balance here is good compensation is quite satisfactory in terms of base but not very good in bonus compared to other big financial names benefits is imo overall not a bad firm to work in ,"balance, work, hours, environment, working"
2809,"Good work life balance for most, hours are reasonable and vacation time usually is not denied.","Good work life balance for most, hours are reasonable and vacation time usually is not denied.",good work life balance for most hours are reasonable and vacation time usually is not denied ,"work, balance, hours"
2810,"S&P has tremendous job flexibility (many analysts telecommute up to 2 days a week). The hours are good for the pay- generally 40 hour work weeks. Other positives, especially for junior analysts, are the exposure to clients' senior management team, bankers, ratings advisors, and industry experts. You'll be surrounded by strong, analytical teammates.","S&P has tremendous job flexibility (many analysts telecommute up to days a week). The hours are good for the pay- generally hour work weeks. Other positives, especially for junior analysts, are the exposure to clients' senior management team, bankers, ratings advisors, and industry experts. You'll be surrounded by strong, analytical teammates.",s p has tremendous job flexibility many analysts telecommute up to days a week the hours are good for the pay generally hour work weeks other positives especially for junior analysts are the exposure to clients senior management team bankers ratings advisors and industry experts you ll be surrounded by strong analytical teammates ,"senior, work, management, hours"
2811,"McGraw-Hill, which owns Standard & Poor's (a.k.a. S&P) and its many divisions, is an excellent company to work for or was when I worked for a division of S&P. MGH's policies for working mothers and the benefits they provide are excellent and MGH takes great pride in its support of working mothers. It is individual divisions of the subsidiaries like S&P that need to better comply with MGH's support of working mothers. In particular, it is executives of these divisions that apply their personal values to how they manage above corporate policy that need to be reminded of MGH's support of working mothers.","McGraw-Hill, which owns Standard & Poor's (a.k.a. S&P) and its many divisions, is an excellent company to work for or was when I worked for a division of S&P. MGH's policies for working mothers and the benefits they provide are excellent and MGH takes great pride in its support of working mothers. It is individual divisions of the subsidiaries like S&P that need to better comply with MGH's support of working mothers. In particular, it is executives of these divisions that apply their personal values to how they manage above corporate policy that need to be reminded of MGH's support of working mothers.",mcgraw hill which owns standard poor s a k a s p and its many divisions is an excellent company to work for or was when i worked for a division of s p mgh s policies for working mothers and the benefits they provide are excellent and mgh takes great pride in its support of working mothers it is individual divisions of the subsidiaries like s p that need to better comply with mgh s support of working mothers in particular it is executives of these divisions that apply their personal values to how they manage above corporate policy that need to be reminded of mgh s support of working mothers ,"company, work, benefits, great, working"
2812,"Laid back atmosphere as compared to investment banks, including more suitable working hours for having a life outside of the cubicle. People are very friendly and normally don't have the ""I'm better than you"" attitude found at investment banks.","Laid back atmosphere as compared to investment banks, including more suitable working hours for having a life outside of the cubicle. People are very friendly and normally don't have the ""I'm better than you"" attitude found at investment banks.",laid back atmosphere as compared to investment banks including more suitable working hours for having a life outside of the cubicle people are very friendly and normally don t have the i m better than you attitude found at investment banks ,"hours, friendly, working"
2813,"S&P is a company with great name recognition. If work life balance is important to you, then S&P is a great place. Employees rarely work past 6PM and depending on the manager, you might be able to work from home once in a while. Phenomenal employee benefits, which include 401K, profit sharing and a non contributory pension plan which vests after 5 years.","S&P is a company with great name recognition. If work life balance is important to you, then S&P is a great place. Employees rarely work past PM and depending on the manager, you might be able to work from home once in a while. Phenomenal employee benefits, which include K, profit sharing and a non contributory pension plan which vests after years.",s p is a company with great name recognition if work life balance is important to you then s p is a great place employees rarely work past pm and depending on the manager you might be able to work from home once in a while phenomenal employee benefits which include k profit sharing and a non contributory pension plan which vests after years ,"balance, company, home, work, great"
2814,"You learn a lot about a wide array of products,but most importantly, you build relationships and make connections to commercial and investment banks, where you will go in 3-5 years, if you want to earn the money you deserve for your efforts.","You learn a lot about a wide array of products,but most importantly, you build relationships and make connections to commercial and investment banks, where you will go in - years, if you want to earn the money you deserve for your efforts.",you learn a lot about a wide array of products but most importantly you build relationships and make connections to commercial and investment banks where you will go in years if you want to earn the money you deserve for your efforts ,
2815,Work from home four days a week. Most of the time managers are flexible with work schedule change.,Work from home four days a week. Most of the time managers are flexible with work schedule change.,work from home four days a week most of the time managers are flexible with work schedule change ,"work, flexible, home"
2816,The name brand and compensation. That's about it.,The name brand and compensation. That's about it.,the name brand and compensation that s about it ,
2817,"Depending on the specific department, the environment is generally laid-back. There is a good work life balance especially since middle managers and above are allowed to work from home at least twice a month. The senior managers are generally flexible with work hours and allow the employees to leave early as needed. There are also numerous career development opportunities including courses offered to improve industry knowledge. In addition, the various employee resource groups typically sponsor events on business topics and host mentoring programs for its members. The global presence of the company allows for employees to learn more about business operations in different offices across the world.","Depending on the specific department, the environment is generally laid-back. There is a good work life balance especially since middle managers and above are allowed to work from home at least twice a month. The senior managers are generally flexible with work hours and allow the employees to leave early as needed. There are also numerous career development opportunities including courses offered to improve industry knowledge. In addition, the various employee resource groups typically sponsor events on business topics and host mentoring programs for its members. The global presence of the company allows for employees to learn more about business operations in different offices across the world.",depending on the specific department the environment is generally laid back there is a good work life balance especially since middle managers and above are allowed to work from home at least twice a month the senior managers are generally flexible with work hours and allow the employees to leave early as needed there are also numerous career development opportunities including courses offered to improve industry knowledge in addition the various employee resource groups typically sponsor events on business topics and host mentoring programs for its members the global presence of the company allows for employees to learn more about business operations in different offices across the world ,"flexible, balance, company, home, senior, work, hours, environment"
2818,"Many intellectual colleagues. S&P hires many MBA level and CFA associates so there are many intelligent people who are very friendly and down to earth. As an undergraduate student, it was hard to adjust at first but the workers were very understanding and helpful in many different aspects.","Many intellectual colleagues. S&P hires many MBA level and CFA associates so there are many intelligent people who are very friendly and down to earth. As an undergraduate student, it was hard to adjust at first but the workers were very understanding and helpful in many different aspects.",many intellectual colleagues s p hires many mba level and cfa associates so there are many intelligent people who are very friendly and down to earth as an undergraduate student it was hard to adjust at first but the workers were very understanding and helpful in many different aspects ,"friendly, people"
2819,"The Wall Street location and the environment. Compared to other Financial Institutions on the Street, S&P is the best place to work. It's moderate-pressure and they do not ask for a lot of time outside working hours. Of course, it's all manager-dependant. If you have a bad manager, your life can be hell. My manager is very flexible with schedule and work-from-home arrangments. Your experience will also depend on which group you're working for and how much money they're taking in. If your group is successful, management will leave you alone. If not, you could be on the chopping block.","The Wall Street location and the environment. Compared to other Financial Institutions on the Street, S&P is the best place to work. It's moderate-pressure and they do not ask for a lot of time outside working hours. Of course, it's all manager-dependant. If you have a bad manager, your life can be hell. My manager is very flexible with schedule and work-from-home arrangments. Your experience will also depend on which group you're working for and how much money they're taking in. If your group is successful, management will leave you alone. If not, you could be on the chopping block.",the wall street location and the environment compared to other financial institutions on the street s p is the best place to work it s moderate pressure and they do not ask for a lot of time outside working hours of course it s all manager dependant if you have a bad manager your life can be hell my manager is very flexible with schedule and work from home arrangments your experience will also depend on which group you re working for and how much money they re taking in if your group is successful management will leave you alone if not you could be on the chopping block ,"flexible, management, place, working"
