answer_re_oth,answer_re_n
work life balance to pm work hours for the most part,"work, balance, hours"
good experience near the city,
people tools technology work life balance and benefits ,balance
 good work life balance flexi timings work from home options depending on the project good initial salary but be aware of the variable component ,"balance, salary, home, options, work"
the company has a solid reputation in the marketplace and a great benefit package senior management tried to make it an enjoyable place to work ,"great, management, place, company"
co workers are great great benefits and decent pay at first,benefits
good work life balance friendly and competent coworkers,"balance, work, friendly"
 friendly work environment very understanding of work and personal life balance progress at your own pace fast or slow depending on your own enthusiasms big company so lots of opportunities to move around esp laterally different ki,"environment, work, balance"
total compensation package is very competitve business unit autonomy provides a lot of freedom in day to day activities work life balance is quite good ability to work from home,"compensation, work, balance, home"
i really love the people ,
employee friendly which allows you to manage both your personal professional life well where you can discuss your ideas with senior management ,senior
good work life balance good office location and flexible hours,"work, flexible, balance, hours"
company provides a relaxed professional atmosphere that offers a good work life balance and the flexibility to work from home when necessary it offers numerous fringe benefits for employees ,"home, work, balance, benefits"
enjoyable fun people really nice place to work,"work, place"
unique culture flexible career bright best team good management best training programs ,
learning opportunities financial domain comfortable good exposure,
brand name work environment transperancy facilities remote locations great opportunities work culture it department people places etc,"work, great"
environment management facilities support safety growth recognition encouragement freedom be your boss decide your working hours once you have proved your abilities ,"hours, working"
great corporate culture and opportunity to learn,"culture, great"
the base salary was very fair for the position the bonus structure was also favorable considering how good the company is was doing field reps make much more obviously leadership was highly educated and competent small office but everyone was cordial and personable company and industry is headed in the right direction ,"salary, company"
company s work culture is good,
constant change which is not a good thing ,
the kind of support from indian management in some areas ,
 team i worked with was great smart skilled very generous benefits and work life balance is good interesting global workplace nice facilities,"great, balance, benefits"
if you are a hard worker you will go a long way but only if you are noticed and liked my management on a personal level pay was great becuse if was tied into how well the group did better commissions than other firms i ve seen,"management, great"
high integrity environment smart people to work with,
benefits package including but not limited to paid vacation paid holidays sick pay healthcare paid maternity leave k commute scheduling,
facilities are nice people are friendly and have diverse backgrounds many opportunities in other areas of the organization benefits and pay are close to industry standards ,"friendly, pay"
good on resume stable company to work for,work
good compensation friendly and supportive management i liked the automatic retirement plan enrollment ,friendly
great people working the day to day,"people, working"
it is a global far reaching company which is well known across multiple fields people are generally supportive and are conducive to working as a team there is a good work life balance ,"company, working"
good scope of learning in tr,
we have work life balance in thomson reuters colleagues are nice in general good working environment with good pantry supplies and gym ,"environment, work, balance, working"
great work life balance nice perks like stock options etc undemanding potential for moving to other jobs within the company as you can see the adverts at any rate,"options, stock, company"
it was a good opportunity and resume builder however you will be worked at crazy hours of the day and night good to get your feet wet here be prepared for the downpour ,hours
work life balance that s it ,
really good benefits growing company may other departments to expand into energetic staff good chance for socializing growth opportunities if you want them many market leading products ,
potential to make if in sales but limited to very high quota attainment work from home which offers flexibility semi autonomous if you perform well they leave you alone other hard working individuals who often share information and offer to help ,working
good benefits pay ok and the added bonus of not having to explain to people what you do for a living mostly excellent journalists in the foreign bureaus and excellent training programme you are also well resourced as a journalist and the brand commands call backs and brings access ,"pay, people"
really care about people very good level of salaries,people
lots of training opportunities in my division different groups work together to make internal training available as budget is very limited for formal training company is hiring more young people in attempt to change culture and change the old ways of doing things management seems open to suggestions from employees,"culture, work, people"
nice working environment good learning resources nice and smart peopel,"smart, working"
good benefits espp k etc pretty flexible work environment ability to move laterally within the company ability to take on resume building projects,"flexible, company, work, benefits, environment"
seeking ways to improve internal processes and ineffective departmental gaps ,
good work life balance good pay and benefits good location good job function and ability to learn ability to take on responsibility,"work, balance, benefits, pay"
good vacation policy good holiday policy,
not hectic workwise relaxed deadlines on the project work can work from home when needed peers are knowledgeable and helpful,"work, home"
probably the best health benefits you ll find due to the canadian ownership good k etc some departments are more stable than others ,"benefits, health"
once was a great place with good benefits no longer the case bloomberg will chip away at this place until it becomes an also ran attorneys will wake up and realize they have been ripped off when they do the company s decline will accelerate ,"place, great"
great work life balance employees treated with respect reasonable pay and benefits,"work, balance, benefits, pay"
good working environment superior managerial staff work life balance good training programmes overall a very good company to work with,"environment, work, balance, working"
international environnent experienced colleagues cross discipline engagements,
the caliber of people you are working with is quite impressive these are smart people who you can learn a lot from ,"smart, people, working"
talented peers with tons of opportunity for international travel and exposure ,
open to suggestions attitude of the work environment absence of the glass ceiling they hear your version of the story always ,"work, environment"
a lot of smart people around,"smart, people"
you will get a lot of time in hand to do personal stuff you will have time to look to do other things apart from your day to day work within the company a place with friendly people ,"work, friendly, place, company"
great benefits reasonable mobility between office and divisions new commitment to innovation and the occasionally moment of pride based on the work being done in the news division ,work
great people interesting work and fairly open culture wide breadth of products that are at the top of the market open access to all levels of management ,work
the salary is above the market average and the health plan is ok location is also convenient and local management is approachable ,"salary, management, health"
quality of work is good good work culture and flexibility ,"culture, work"
if you can prove that you are better than others it s fine otherwise you may not get new increased salary next year ,salary
work hom balance opportunity to travel abroad international opportunity,balance
it s global and it supplies essential information services for a variety of industries that makes it interesting potentially ,
it s a global organization which makes you meet people from different cultures,people
 job is very doable big company atmosphere ,company
 good benefits package better than average pto horizontal mobility is strong some relocation opportunities laid back dress policy and core hours some interesting technologies and work if you happen to get in the right group or the right project relatively good job security for engineers dbas and other strong technical jobs there is usually a year end bonus for non management typically about week of pay usually there is money and will to get the tools you need or want ,"work, benefits"
interdisciplinary teams allow learning new things all the time kindest nicest best teammates super low hours for lawyers benefits are reasonable compared to for profit companies funny cafeteria staff,"hours, benefits"
great benefits downtown location teams to work with ,work
good benefits and vacation time ,benefits
lot s of work to go around which leads to increased learning opportunities a reasonable amount of responsibility is given to junior employees casual environment low key level headed coworkers,work
flexible and result oriented good benefits too everyone is very professional and committed to their work love working here all the time ,"benefits, working"
good young dynamic engaging environment,environment
great work life balance push for employees to take full vacation each year autonomy of work do not get over managed great pay if you hit your goals,"work, balance, pay"
good for work life balance ,work
young and dynamic environment good training opportunities global company with global job opportunities good opportunities for job changes possibilities to progress intellectually ,company
great people great customers good territory,great
benefits we re very good at tr ,
great time off work life balance is fantastic very good communication from upper management salaries comparable within the industry diverse workforce,balance
work life balance great pto time sick time stable in the tax area,balance
managers treat their teams with great respect and our very receptive to work life balance issues excellent place to work for individuals with family commitments,"work, balance, place, great"
a good learning experience benefits vacation benefits locations global experience global relationships available training sessions ,
leading provider of market data and financial information,
exposure to products in the financial industry,
good benefits smart people overall the company still has good potential and growth outlook ,company
minimal work pressure is just one good thing,
the healthcare industry is on the rise this is a good way to get into the field and use the company as a launching point ,company
easy going environment with fair and caring management ,
thomson reuters has some of the best people i have ever worked with working there work is collaborative and there is always something new coming,"people, working"
professional receptive to balancing work and family ,work
nice co workers good benefits buses from the parking lot ,
continuous learning and get exposed to various development domains,
learn a lot of new things everyday colleagues culture benefits,benefits
work life balance wide range of products and business,work
pay time off location total benefits,benefits
my boss is very flexible when i need to take time off ,flexible
growth and advancement seem to come as the company continues to grow this presents opportunities for those that are willing to step up to the challenge ,company
excellent technical people to work and learn from,"work, people"
good company for resent college graduates no pressure environment casual atmosphere ,"pressure, company"
innovative lots of current technology there is very positive energy about company and people are very experienced and willing to help,"company, people"
good life work balance colleague are nice and friendly to work with,"work, friendly"
stable place to work people stay here for years ,"place, people"
good vision but execution is lacking good opportunities for the right people ,
good work life balance good hours terrific bonus system truly global organization ,
great benefits k healthcare etc one of the tops for salary compensation employees are very friendly and helpful great team environment,"friendly, salary, environment, benefits"
decent working environment friendly and helpful colleagues work personal life balance competitive salary employee friendly hr policies very professional and helpful finance and payroll department,"friendly, balance, salary, environment, working"
is a small place so you get to see and learn a lot flexible time good pay,"flexible, pay, place"
i was interviewing for a position no cons ,
strong reputation and good company culture,"culture, company"
dynamic global diverse professional rewarding,
relaxed environment company is generous with time off ,company
excellent benefits package talented developers professional environment attempting to go agile on many of the technology projects aka more natural work approach ,"work, talented, benefits"
great people work on real stuff with direct usage from users not just a small portion good amount of responsibility decent flexibility ,work
quite lot resource to learn balance work and life,"work, balance"
large company with diverse opportunities,company
good company policies good work life balance work recognition to an extent,"work, balance, company"
flexiable working time less ot friendly colleagues,"friendly, working"
people are great to work with at peer level,"work, great"
plenty of change autonomous training support interaction with other teams ability to make improvements good benefits package great personal development,"great, benefits"
good work life balance excellent colleagues truly a global company,"balance, company"
the company has no problem spending money on technology and it is a great place to work with equipment you otherwise would never have a chance to ,"great, work, place, company"
you get lot of learning opportunities,
good career options for those able to relocate company has interesting projects in various markets globally ,options
strategic thinking internal growth opportunities,
i endorse the company culture ,company
finance domain brand relatively good pay team work strong business sometimes compared with telecom a little bit better autonomous decision space,"work, pay"
ok salary horrible management especially at the business level ,management
 great comp when you re hitting your numbers top notch products and product recognition lots of outside respect for the company,company
great people to work with friendly environment,"environment, work, friendly, people"
freedom to pursue your interests set your own goals and achieve them reuters is a recognized name in news that automatically garners respect there are a lot of opportunities to be transferred to other locations the company recognizes previous management mistakes and is trying to turn things around ,"management, company"
good benefits wonderful fun coworkers cent soda in the atlanta office,
market leader mature selling environment good pay good coworkers,environment
good work family life balance more number of paid leaves relaxed and stress free work environment,"free, work, environment"
there s a lot of freedom to do what you have to do to get the job done in my area,
it is a mature selling environment with a great campus i would recommend it to anyone looking for a sales job,"environment, great"
thomson reuters has a strong brand an interesting product portfolio a very international operation and its workforce is diverse pay is ok considering the hours worked ,hours
good work life balance some friendly and knowledgeble people it s a good place if you are very laid back ,"friendly, place"
good work and life balance interesting projects to work on massive massive company relatively good job security great for new graduates ,"work, great"
great workspace good location lots of resources available to employees managers were approachable and willing to listen and they try to work with the smaller temping agencies,work
the values and open culture of the company make it a very good place to work the company is not afraid to innovate when needed there are many learning opportunities interaction with co workers around the globe is something that is deeply emmeshed within the culture some groups within the organization are on the cutting edge of technology the company promotes and encourage diversity and work life balance ,"place, company, culture, cutting, edge"
flexibility front line managers work life balance benefits are all very good even pay is ok though nobody can actually explain how bonuses are calculated it is also a ver large company so i expect experiences vary greatl from division to division country to country and city to cit ,"work, pay, company"
interaction with co workers is excellent,
always something new lots of problem solving good people,people
promotes good balance of work and home life telecommute,"work, balance, home"
 very good work life balance good career progression variety of career paths opinions can be voiced without fear,balance
great products dynamic company good communication from top the company has a very fine attitude towards career development and training and invests in senior staff,"great, senior, company"
benefits are very very good holidays flexi time working at home in the early stages at least you learn a lot of skills and competencies,working
good working environment high paced,"paced, working"
good team to work with nice person and manager,work
looks good on a resume lots of problem solving if you have to work saturdays they have it catered lots of young people managers are not overly strict potential to make good money if you can get transferred to a new department ,work
benefits including vacation work from home but they are cutting back on this ability to travel,"cutting, home"
i have got few good friends here ,
it has a good working culture open and comfortable working environment lots of room to grow and really good work life balance ,"work, working"
work life balance leadership opportunity supportive staff,balance
opportunities for alternate work shifts are available compressed work weeks occasional work from home able to schedule time off as needed ,work
culture transparency great set of minds good team work flexible in and out work times gives you enough opportunities for improving your self ,"work, flexible, great"
excellent employee benefits day on pain vacations per year free snacks and coffee and milk wide ranging welfares ,"snacks, free"
really innovative products dynamic business and decent work life balance with notable individual business unit exceptions great content assets from both companies ,"work, balance"
work life balance is great however every area is different and therefore this is not consistent excellent maternity leave wks at full pay week for dads or the full wks for a dad who will be the primary caregiver great paid time off wks vacation holidays sick days ,balance
very good work atmosphere positive attitute employee treat each other with respect ,work
intern in the mfg plant learned a lot great company to work for leadership team is very helpful and will give you the tools required ,"great, work, company"
you can really be proud of once you get in you can say that you re one of the best so far thats the only pro i can say,
commraderie salary ability to advance,
quality of life good people ,
flexible work conditions and excellent pay,"work, flexible, pay"
work life balance quality of work work atmosphere,"work, balance"
there are so many business groups and products we almost always one product of ours we are selling to any given professional organization ,
benefits are great and immediate,"great, benefits"
good benefits package great in allowing flexible schedules including remote work the people on the same level as myself are great to work with and team oriented ,"flexible, people, work, benefits, great"
good work environment and all medical and transport facilities are available for employees leaders are good and familiar with employees ,"work, environment"
challenging projects to build financial analytics on top of vast amounts of data incredibly talented people working together in a dynamic atmosphere nice office space on market st ,"talented, people, working"
flexible timing good paid vacation transparency ,
barest minimum of hours required can set own start stop time friendly folks ,"hours, friendly"
a lot of opportunities to move within the organization to other countries and good benefits the team i worked with was very supportive and a pleasure to work with ,work
fun people and work environment great upper management corporate culture is all about being global high collaboration initiatives great internship program,"people, culture, management, work, environment, great"
ability to experiment and get involved in many projects outside of your direct role hr is ahead of the curve with regard to the programs it implements ,
the work environment is very good it s multinational with many talanted people overall people are proud to work in the company ,"work, environment, people"
because thomson reuters is a big company it is relatively stable even if senior leadership has to tap dance to a board they do the best they can to keep employees happy ,senior
thomson reuters offers a wide variety of opportunities to gain experience and knowledge in your chosen field especially in the areas of legal and technology they are striving to elevate the perception of the company as a good place to work and attempting to position themselves as a technology company ,"work, place, company"
market leader in their product areas with financial support to get things done ,
don t waste your time applying it will only be a matter of time before you are training your replacement who lives overseas in manila ,
benefits wages training community involvement,
very flexible and lots of independence,flexible
thomson reuters is a great global company with great benefits and lots of opportunities to grow your career or move internationally ,"great, company, benefits"
the work life balance is fantastic working globally provides an abundance of skills and knowledge culture and team cohesion is brilliant ,"work, balance"
i have alway found thomson reuters to be pretty open to flexible working arrangements ,"flexible, working"
great people strong brand global reach,great
very family friendly great work facilities and ammenities,"work, friendly"
mostly intelligent self confident people to work with so not a lot of back stabbing passive aggressiveness or territory conflicts although some minimal people eager to help each other peer review is encouraged ,"work, people"
excellent feedback from management freedom and trust without micromanagement excellent work environment challenging interesting work ,work
you will work with great people who are knowledgeable and engaged in the industry they support,"great, work, people"
very interesting work great people chance to work with people around the globle,"great, work, people"
very flexible in work schedule great benefits very good work life equation great company perks mentoring programs available thomson womens group volunteering opportunities volunteering is encouraged and thomson reuters gives you a day off to volunteer great working opportunities very busy lots to learn,"flexible, company, work, great, working"
tr is a great company for freelancers that offers a flexible schedule steady projects fair pay helpful supervisors engaging and challenging work at times ,"great, work, flexible, company"
learning from colleagues good teams ,
cutting edge technology so you can learn a lot ,edge
thomson reuters has good people strong company values and a dynamic international business they are very competitive and creative within the markets in which they operate ,company
flexible working hours growth opportunities multiple fields of expertise working with experts opportunities to change career easily multi cultural and multi national working,"hours, working"
work life balance is excellent easy place to work in terms of pressure friendly environment ,"work, balance, place"
no stress flexible work good benefits holidays health global presence,"work, benefits"
the company has been profitable thru the recession the last few years the company has decent health benefits and a good work life balance ,"company, benefits, health"
fast paced good facility good people flexible schedule ability to spend some time working remotely many internal opportunities to change and or advance career ,"flexible, working"
cutting edge projects great office atmosphere ,"edge, great"
good work life balance very decentralized business strategy allows people at various levels to make decisions relatively easy to get to know people across the organization if you are willing to make the effort,"balance, people"
great work life balance good benefits great opportunites to work in a global organization financially secure and stable company,"work, balance, benefits, company"
large company with a multitude of locations and job roles those roles are freely available internally before they are advertised externally ,company
the financial industry is fast paced and the work we do feels relevant in today s economy thomson reuters also has good benefits and has policies in place to try help employees have the elusive work life balance ,"work, place, benefits"
there is constant contact with people in the market you get to know a lot of market participants plus learn a lot from different types of jobs ,people
as a content provider thomson s not so tied to the boom bust cycle very far thinking senior management e g got out of newspapers well before it was the obvious move also set wheels in motion to buy largest competitor well before the downturn ,"senior, management"
work life balance tuition reimbursement stock purchase,
benefits are reasonable particularly the health care and dental plans tuition reimbusement program is very competitive with what other companies offer ,health
great place to write software very little rd party applications write software that is similar to what google search is doing but without millions of results just specific ones on point ,place
the opportunity of being in a large company and having some areas within still acting like nimble small businesses that are autonomous ,company
the exposure to great clients if you land in the right spot ,great
it was very time sensitive detailed and challenging work every day you had to very knowledgeable about the markets and market trends it involved lots of communication both verbally and in writing to mutual fund houses and financial services professionals ,work
thomson reuters is a leader in information handling it provides sectors of opportunities for its employers to partake in it s a corporation of its time ,
good work life balance supportive management very smart colleagues customer focus hard working colleagues and managers it is a good place to start a career ,"smart, place, working"
great learning experience while working with veteran journalists,working
westlaw is the leader in the industry i was always proud to say that i worked for such a fine company they were a company of honesty and integrity the products are the best which made our jobs so much easier b c you knew that your clients were getting value out of their purchases ,company
good benefits weeks vacation weeks after years and week sick leave,benefits
great supportive management excellent benefits fair pay true support for work life balance,"management, balance, benefits, pay"
engagement with senior management and mid level managers,"senior, management"
relaxed atmosphere generous vacation sick days relative freedom in choice of technology to play with the business is thoroughly diversified so it is a safe heaven in times of financial crisis ,
exposure to learn new reporting tools as this company strategy is to acquire new companies and expand their market place ,company
very supportive professional environment opportunity to learn what you want and advance by merit,
nice people good work life balance down to earth culture,"culture, work"
good work environment decent benefits good people,"work, people"
training courses are great and people feel free to enroll or take the certificate exam ,"great, free, people"
great benefits weeks of vacation for old reuters employees ,benefits
the product is great and there is good income potential if you are good and lucky enough to get a good territory many are not ,great
some employees are very good people and are good at what they do the business is understaffed and therefore employees are overworked and overextended ,people
active environment well qualified staff diversity no discrimination flexibility on work hours balance of work and personal life overall positive bonus package relationship and immediate feedback when needed from team leaders ,"work, hours"
company reputation good work life balance looks good on resume management is super awesome very friendly and casual atmosphere hour long lunch one gets appreciated for his her good work as an intern i really learned a lot and enjoyed my internship,"friendly, work, balance, company"
good work culture flexibility work life balance good salary,"culture, work"
good place to learn and friendly environment,"environment, friendly, place"
i really like the work environment not having the campus in the downtown area is a real plus because it makes the commute much more manageable ,work
good for the people who are looking stability in life there is no pressure in work process is easy to learn,"pressure, people"
i worked here for several years my colleagues were nice and there was a cordial atmosphere for most interactions i would recommend this company to a friend ,company
reconized name in the industry good quality product ,
the benefits package made available was very satisfactory,benefits
great work life balance and lots of ways to get involved within your community e g donation match cash donation to your designated charity for volunteer time etc really nice colleagues,balance
great colleagues almost all very friendly as were team leaders and lower management interesting job working hours were very flexible comfortable working environment access to free private healthcare ,"hours, free, working"
pay work life balance good people for the most part ,work
the people and the size of the company we pros,"company, people"
tr is a good comfortable place to work people are generally friendly and management supportive flexible working hours and good benefits and salary compering to other companies in the industry ,"friendly, place, salary, management, benefits, hours, working"
met great people tr was ready to recognise performers ,great
smart people to work with people who have been around for a very long time ,"work, people"
interesteing to learn the differnt types of financial information many areas that you can explore for your career global perspective ,
thomson s is a great company if you happen to like where your first land ,"great, company"
i ve been here for about five years and have often been frustrated by how slowly things move great culture great people and a sense of mission but slow to change but something is going on over the last months i ve started to see decisions being made much faster big investments that they actually follow through on more focus on making sales successful and a lot of investment in technology based on what i hear from friends who work with the competition ap it looks like we re going to kick ass ,"work, great"
thomson reuters has some great products the compensation and benefits are good many positions provide the opportunity to travel the customers are great to work with ,"great, compensation, work, benefits"
good location decent codebase fairly advanced perl programmers in upper management ,
you are given responsibility and an opportunity to learn and grow how much you learn and grow is dependent on how motivated you are and how much time effort you put in though this does lead to work life imbalance in most teams management is generally supportive ,management
balance between work and family,"work, balance"
provide enough benefit and saraly work environment is full hand of young people so there will be a lot of activity in organization work hour is flexible,"flexible, environment, people"
global organization with multiple opportunities,
they have a competitive benefits package an average compensation rate and seem unwilling to fire anyone so if you don t care about being able to accomplish anything productive this is a good place to work ,"compensation, place, benefits"
it is not at all stressfull almost feels like litlle work,work
great people to work with with the exception of upper management ability to work from home flexibility in hours stable company,"company, work, people"
friendly and relatively casual environment for a business setting great experience into the corporate world hour long lunch looks great on resume ,"environment, great"
it s a great place to work great people and a truly global company the culture is really good although it is slowly changing more towards the thomson way of doing things reuters was very different ,"great, culture, place, people"
you will be treated well and respected by your managers and most of your coworkers work is usually challenging,
good office environment good colleagues flex timings can take time off when needed focus is more on work and not on the process i havent seen this any where else and it works ,"work, environment"
good work life balance enough freedom to work,"work, balance"
good benefits flexible with work schedules,"work, flexible"
on the profesional side of the business it has wonderful products to serve both the legal and tax and scienece markets respected brands good middle management teams in place in professional ok benefits good place to learn and grow if you have a few years into your career intellect is very valued core businesses are the back bone of the legal science and tax professions ,"management, place, benefits"
it was a good place to work with opportunities in a lot of areas and countries with good managerial support,"work, place"
salaries seem competitive many co workers are pleasant to work with company is global in scope which allows some interesting interplay with multi cultural sites ,work
work life balance supportive great benefits,"great, benefits"
 as a large company benefits are better than what you d get from a smaller company vacation personal time off was generous if you start with the company in the middle of the year your time off will be pro rated see con if you re laid off ,"company, benefits"
vacation benefits opportunity to network with major corporations great place for women employees and career advancement major corporation looks good on resume ,"place, great"
u can learn alot there,
good work life balance a few good professional colleagues ,
my experience at thomson reuters was that i received good projects and had good team leadership the lunchrooms are excellent and location is close to the cities ,
the company offers a very comprehensive benefits package over the past couple of years the company has given out annual bonses and raises there is also stability and flexible work arrangements ,"company, work, flexible, benefits"
the working hours are flexible for front line staffs good working environment hotdesk free seatings lots of learning opportunities ,"flexible, free, hours, working"
good benefits with a good balance between work and personal life ,"work, balance, benefits"
the company offers great work life balance ,"great, work, company"
good exposure good pay work appreciated in terms of salary too,salary
a great work lifer balance my colleagues and management team are very personable and a pleasure to work with ,"work, management, great"
great people to work with very multicultural,"work, people"
it has a good name and it s a strong brand looks good on resume ,
 work life balance paid time off very generous knowledgeable low level managers interesting work good benefits,work
benefits that are average at best ability to work from home some flexibility with respect to time in the office ,work
flexible and great work environment friendly co workers nice cafeterias outdoor grills etc ,"work, great"
recognisable name in the industry competitive starting salaries bonus scheme and decent benefits diverse employees nice mix of people to work with ability to try new things if interested and determined good social aspect friendly colleagues,"work, friendly, benefits, people"
great learning environment great support from upper management,management
seems like a good place to work if you want a job if work is just a way to support your life it might be the place for you the company is gigantic and layoffs are infrequent compared to the rest of the software industry if you like the work there are lots of projects and they seem to move people around and reorg a lot so you won t get bored the projects are large and they recognize it takes time to do the job right i haven t seen any all night rush sessions or whole teams working the weekend which is nice if you like bankers hours tr has you covered its a ghost town after and they seem family friendly lots of interesting genuinely nice people from all over the world are constantly coming and going tr doesn t focus on just the us or europe they really are world wide cafeteria is good and free ice tea and milk ,"place, people, company, work, free, hours, working"
thomson reuters has great benefits flexible time off and a good management team our office environment is friendly and team oriented ,"flexible, friendly, management, environment, great"
the people you work with on a daily basis are exceptional and you have a lot of independence they value work life balance ,"work, people"
great benefits great work life balance some very nice colleagues,"balance, benefits"
most departments are very good with work life balance many are excellent it is fairly easy to move around in the company if you want to learn new skills the company almost nevers fires employees and rarely lays off engineers so you can consider your job pretty safe nice amenities at the eagan location coffee shop cafes convenience store a bank and more ,"work, company"
most of my colleagues were very supportive ,
good name lots of areas to move within your silo ,
work life balance benefits are great salary in some countries is above average great information access,great
good benefits many activities to participate beside work flexible work hours room for creativities,"work, flexible"
hyderabad is the place where you have freedom knowledge sharing fun at work etc ,"work, place"
for families they offer generous and flexible working practices although this can be at the detriment of actual performance for teams when half the company work part time or leave early to pick up kids good holiday flexitime short working hours are good if you value your personal life above professional ,"flexible, company, work, hours, working"
flexible working policy a lot of individuals with knowledge and experience good to work with our brand is still valuable fascinating market to work in,"work, working"
thomson reuters is a good place to work the income opportunity is equal to similar companies in the information provider industry ,place
support from senior management is good and work is recognized and rewarded facilities and extracurricular activities give some opportunities to relax and concentrate more on work ,work
good salary and other benefits ,
great work culture job safety no too much work pressure diversity can apply for internal job posting free from bias ,"work, great"
large stable company lots of customers opportunity to get promoted,company
flexible work schedule generous vacation package,work
good quality work as compared to its peers open work culture good compensation and other benefits,"culture, work, benefits"
team is well integrated and fast moving the work is interesting ,"work, fast"
 excellent well thought of employee friendly policies good brand name to be associated with good scope for growth if you can lick your way thru the middle management ,friendly
good starting job good trainining for new employees and lots of opportunities because lots of re organizations that create new opportunities although frustrating with how often changes happen ,
great coworkers abundance of paid time off many good first level managers,
you learn alot in terms of markets clients and products ,
thomson reuters is solid across the board reoccurring revenue makes it predictable business and allows them to make aggressive business decisions ,
flexible working can work from home people generally appreciate how busy you are respectable benefits package technologically forward looking intelligent people,"people, home, work, benefits, working"
great work life balance great colleagues who have fun and are most often happy to help one another out some good products in the industry good brand,
 some smart people occasional training programs for employees the job is interesting for a few months before you realize you are doing the same thing again and again for months together good company if you prefer work life balance a guaranteed job laid back atmosphere and mildly challenging work ,"smart, company"
the official work life balance is pretty good with good time off and weeks however the norm in the last few years has become to work more and more overtime co workers are great if you are in the right area you get good opportunity to work with relevant technologies ,"work, balance"
vacation time and job freedom former reuters employees retained their weeks of vacation that goes a long way i also have lots of freedom in my particular position but that s not true across the organization and it s getting worse each time they take more resources away ,
global company trusted news agency focused customer centric ,
located close to major transportation a swanky address nice people reuters name recognition flexible work life ,flexible
good benefits good team stability in job leadership recognizes when a job is well done part of something important in the overall scheme of things ,
 good benefits once you re in you can stay forever work from home flexible hours depends on manager understanding for personal situations lots of budget for any project that s shiny,"hours, work, flexible, benefits"
challenging good working environment many idle time trainings and skills enchancement friendly people you can work independently or with team,"work, friendly, people, working"
great working hours rarely needs to go overtime,"hours, working"
some good guys to work with international company with work oversea opportunity good work life balance could learn some interesting things there ,"work, company"
no work load good life with work balance no stress if you want to settle this is a good company for you work from home option is there time flexibility,"home, work, balance, company"
i was well compensated and the benefits were good the work life balance was appropriate i worked alongside some creative intelligent great people ,"great, work, balance, benefits"
interesting work most of the time work from home when required time off when needed colleagues are sound good people stick around,"home, work, people"
it is a good company with responsible conservative values and leadership compared to companies i worked at in the past management seems to carefully plan for the present and future especially in terms of workforce there are always good opportunities presented to those who wish to take on a new challenge in their career ,"management, company"
really good with vacation and time off for life events they realize that work is not life and life is not work but to have a good work life you must also have a good life ,work
top management is good flexible in taking time off for personal matters coworkers are supportive and great to work with ,"work, management, great"
