,pros_page1,pros_page_rating_value,answer_re,answer_re_oth,answer_re_n
537,Work life balance New Set up - promising growth opportunities,4,Work life balance New Set up - promising growth opportunities,work life balance new set up promising growth opportunities,balance
538,Work life balance is good,3,Work life balance is good,work life balance is good,balance
539,There's a great work life balance and terrific benefits. Good stepping stone,4,There's a great work life balance and terrific benefits. Good stepping stone,there s a great work life balance and terrific benefits good stepping stone,"work, balance, great"
540,Overall the company is good to work for.,3,Overall the company is good to work for.,overall the company is good to work for ,"work, company"
541,"Very intellectually stimulating place to work, great colleagues and good exposure.",3,"Very intellectually stimulating place to work, great colleagues and good exposure.",very intellectually stimulating place to work great colleagues and good exposure ,"place, great"
542,"+Investment Banking like experience without the hours, pay or prestige +Exposure to senior executives for some of the top corporations, important government officials and investors in the country. +interesting work with smart people +strong brand",3,"+Investment Banking like experience without the hours, pay or prestige +Exposure to senior executives for some of the top corporations, important government officials and investors in the country. +interesting work with smart people +strong brand", investment banking like experience without the hours pay or prestige exposure to senior executives for some of the top corporations important government officials and investors in the country interesting work with smart people strong brand,"people, smart, pay, senior, work"
543,good conditions for working there,4,good conditions for working there,good conditions for working there,working
544,Flexibility of work is possible,1,Flexibility of work is possible,flexibility of work is possible,work
545,Strong brand name / franchise,1,Strong brand name / franchise,strong brand name franchise,
546,Great flexible work hours/environments ERGs Company volunteering,2,Great flexible work hours/environments ERGs Company volunteering,great flexible work hours environments ergs company volunteering,"work, flexible"
547,"Community, volunteer opportunities, relaxed environment",4,"Community, volunteer opportunities, relaxed environment",community volunteer opportunities relaxed environment,environment
548,"Great colleagues, surrounded by intelligent and generally good people",3,"Great colleagues, surrounded by intelligent and generally good people",great colleagues surrounded by intelligent and generally good people,people
549,"Great work-life balance, flexible managers, great pay for the amount of hours worked, diverse and accepting environment",4,"Great work-life balance, flexible managers, great pay for the amount of hours worked, diverse and accepting environment",great work life balance flexible managers great pay for the amount of hours worked diverse and accepting environment,"flexible, pay, hours, environment, great"
550,"Good place for career progression, and work life balance.",3,"Good place for career progression, and work life balance.",good place for career progression and work life balance ,"work, place"
551,good work life balance. flexible working schedule,3,good work life balance. flexible working schedule,good work life balance flexible working schedule,"work, flexible, working"
552,"Great work-life balance overall, autonomy",3,"Great work-life balance overall, autonomy",great work life balance overall autonomy,balance
553,Six monthly salary hike. Good colleagues and I was fortunate to have a good manager. Does not follow a hire and fire policy.,4,Six monthly salary hike. Good colleagues and I was fortunate to have a good manager. Does not follow a hire and fire policy.,six monthly salary hike good colleagues and i was fortunate to have a good manager does not follow a hire and fire policy ,salary
554,Great Place to work. Great analytical relevance and professionalism,1,Great Place to work. Great analytical relevance and professionalism,great place to work great analytical relevance and professionalism,
555,Good salary with a secure and stable environment . Overall it's a Nice place to work with friendly staff and a good location .canteen is good and affordable,1,Good salary with a secure and stable environment . Overall it's a Nice place to work with friendly staff and a good location .canteen is good and affordable,good salary with a secure and stable environment overall it s a nice place to work with friendly staff and a good location canteen is good and affordable,"friendly, place, salary, work, environment"
556,"Moody's investor services has a good location for its London office in Canary Wharf aprox, 2 mins from canary wharf london underground station Jubliee line.",2,"Moody's investor services has a good location for its London office in Canary Wharf aprox, mins from canary wharf london underground station Jubliee line.",moody s investor services has a good location for its london office in canary wharf aprox mins from canary wharf london underground station jubliee line ,
557,"Utilize my skills, location, professional people",4,"Utilize my skills, location, professional people",utilize my skills location professional people,people
558,Great culture/workplace environment. Awesome place to begin career,3,Great culture/workplace environment. Awesome place to begin career,great culture workplace environment awesome place to begin career,place
559,better than average work life balance,4,better than average work life balance,better than average work life balance,"work, balance"
560,"Most the people that work there are intelligent, experienced and high quality",3,"Most the people that work there are intelligent, experienced and high quality",most the people that work there are intelligent experienced and high quality,"work, people"
561,Excellent place to work with work life balance. Adopting new technology.,3,Excellent place to work with work life balance. Adopting new technology.,excellent place to work with work life balance adopting new technology ,"work, place"
562,Some nice people. Very diverse environment. Good learning place for juniors but work is very uninteresting for the most part.,3,Some nice people. Very diverse environment. Good learning place for juniors but work is very uninteresting for the most part.,some nice people very diverse environment good learning place for juniors but work is very uninteresting for the most part ,"work, place"
563,"Easy, mundane task-oriented job. Schedule is stricly 9 to 5. Never an hour more Fairly low-stress environment",4,"Easy, mundane task-oriented job. Schedule is stricly to . Never an hour more Fairly low-stress environment",easy mundane task oriented job schedule is stricly to never an hour more fairly low stress environment,environment
564,No pros for US location,1,No pros for US location,no pros for us location,
565,Wall Street reputation is good,1,Wall Street reputation is good,wall street reputation is good,
566,"I think Moody's is a great firm with an awesome company culture. People are friendly and the work-life balance is extremely manageable. Additionally, for a Financial Services firm, Moody's is pretty progressive on Diversity initiatives.",2,"I think Moody's is a great firm with an awesome company culture. People are friendly and the work-life balance is extremely manageable. Additionally, for a Financial Services firm, Moody's is pretty progressive on Diversity initiatives.",i think moody s is a great firm with an awesome company culture people are friendly and the work life balance is extremely manageable additionally for a financial services firm moody s is pretty progressive on diversity initiatives ,"friendly, great, balance, company"
567,Good people. Nice location. Okay money.,4,Good people. Nice location. Okay money.,good people nice location okay money ,
568,"Great experience, lot of knowledge gained, friendly and collaborative atmosphere.",3,"Great experience, lot of knowledge gained, friendly and collaborative atmosphere.",great experience lot of knowledge gained friendly and collaborative atmosphere ,friendly
569,I found Moody's to be a company that is caring enough to fully support a work / life balance. Their work from home policy is very beneficial for staff.,4,I found Moody's to be a company that is caring enough to fully support a work / life balance. Their work from home policy is very beneficial for staff.,i found moody s to be a company that is caring enough to fully support a work life balance their work from home policy is very beneficial for staff ,"home, work, company"
570,"interesting work, excellent calibur of co-workers, good reputation",3,"interesting work, excellent calibur of co-workers, good reputation",interesting work excellent calibur of co workers good reputation,
571,Good work life balance exists,3,Good work life balance exists,good work life balance exists,"work, balance"
572,Work Life Balance Good Learning Environment Brand Name,3,Work Life Balance Good Learning Environment Brand Name,work life balance good learning environment brand name,
573,Great company! Great opportunities for interns to meet with top-level staff,4,Great company! Great opportunities for interns to meet with top-level staff,great company great opportunities for interns to meet with top level staff,
574,"salary and benefits, people, lots of free drinks",1,"salary and benefits, people, lots of free drinks",salary and benefits people lots of free drinks,"salary, free"
575,growth opportunities friendly staff excellent benefits Community sponsors to events,1,growth opportunities friendly staff excellent benefits Community sponsors to events,growth opportunities friendly staff excellent benefits community sponsors to events,"friendly, benefits"
576,Good exposure to rest of the company through the role,2,Good exposure to rest of the company through the role,good exposure to rest of the company through the role,company
577,Great place to crack into the world of finance and take a deep dive to understanding the fundamentals of public markets.,4,Great place to crack into the world of finance and take a deep dive to understanding the fundamentals of public markets.,great place to crack into the world of finance and take a deep dive to understanding the fundamentals of public markets ,place
578,Advancement is available to all Competive Salary,3,Advancement is available to all Competive Salary,advancement is available to all competive salary,
579,Awesome internship program. Competitive Pay. Great networking.,4,Awesome internship program. Competitive Pay. Great networking.,awesome internship program competitive pay great networking ,
580,Nice company to grow my experiences,3,Nice company to grow my experiences,nice company to grow my experiences,company
581,"interesting work, supportive colleagues, good reputation",3,"interesting work, supportive colleagues, good reputation",interesting work supportive colleagues good reputation,
582,Prestige and the like Yeah,3,Prestige and the like Yeah,prestige and the like yeah,
583,"Comfortable hours, great benefits, great people to work with",4,"Comfortable hours, great benefits, great people to work with",comfortable hours great benefits great people to work with,"great, work, people"
584,"open environment, frendly teammates, good office location",1,"open environment, frendly teammates, good office location",open environment frendly teammates good office location,
585,"Good hours, friendly working environment, decent learning curve",1,"Good hours, friendly working environment, decent learning curve",good hours friendly working environment decent learning curve,"friendly, working"
586,"Good health benefits, work from home option, diverse culture",2,"Good health benefits, work from home option, diverse culture",good health benefits work from home option diverse culture,"culture, work, home, health"
587,There is no Pro for this company.,4,There is no Pro for this company.,there is no pro for this company ,
588,"Great culture, mobility, diverse opportunities and strong management",3,"Great culture, mobility, diverse opportunities and strong management",great culture mobility diverse opportunities and strong management,management
589,Bi annual salary hike and good bonus,4,Bi annual salary hike and good bonus,bi annual salary hike and good bonus,salary
590,very good work life balance,3,very good work life balance,very good work life balance,"work, balance"
591,Great work life balance lots of smart people in different functions good pay at higher levels of management Good exit opportunities,3,Great work life balance lots of smart people in different functions good pay at higher levels of management Good exit opportunities,great work life balance lots of smart people in different functions good pay at higher levels of management good exit opportunities,"balance, people, smart, management, pay, work"
592,"Professional work environment, flexible hours, performance driven",3,"Professional work environment, flexible hours, performance driven",professional work environment flexible hours performance driven,"work, flexible"
593,There is flexibility to work from home. Good time off for having children. Ability to work from home,4,There is flexibility to work from home. Good time off for having children. Ability to work from home,there is flexibility to work from home good time off for having children ability to work from home,"work, home"
594,"Collegiate atmosphere, good work-life balance. Good place to start out career",1,"Collegiate atmosphere, good work-life balance. Good place to start out career",collegiate atmosphere good work life balance good place to start out career,place
595,"Good work life balance Easy, comfortable day to day",1,"Good work life balance Easy, comfortable day to day",good work life balance easy comfortable day to day,"work, balance"
596,"Nice work environment, Good co-workers to work with.",2,"Nice work environment, Good co-workers to work with.",nice work environment good co workers to work with ,work
597,"Ambiente bom, profissionais muito bem capacitados, possibilidade de trabalhar diretamente com a economia e assuntos atuais. Boa remuneração.",4,"Ambiente bom, profissionais muito bem capacitados, possibilidade de trabalhar diretamente com a economia e assuntos atuais. Boa remuneração.",ambiente bom profissionais muito bem capacitados possibilidade de trabalhar diretamente com a economia e assuntos atuais boa remuneração ,
598,"A lot of responsibility from a junior level Good learning curve (and for the first few years) Opportunity to interact with issuers senior management, as well as investors Travel Great environment Good work/life balance",3,"A lot of responsibility from a junior level Good learning curve (and for the first few years) Opportunity to interact with issuers senior management, as well as investors Travel Great environment Good work/life balance",a lot of responsibility from a junior level good learning curve and for the first few years opportunity to interact with issuers senior management as well as investors travel great environment good work life balance,"senior, environment, balance"
599,"Great next level manager, great location and office building, friendly employees, diverse group of people working for company.",4,"Great next level manager, great location and office building, friendly employees, diverse group of people working for company.",great next level manager great location and office building friendly employees diverse group of people working for company ,"great, friendly, people, working"
600,Good Pay for decent work-life balance,3,Good Pay for decent work-life balance,good pay for decent work life balance,balance
601,"Good work-life balance, strong academic and collegial culture, great location, strong management, helpful when trying to move up within the company",3,"Good work-life balance, strong academic and collegial culture, great location, strong management, helpful when trying to move up within the company",good work life balance strong academic and collegial culture great location strong management helpful when trying to move up within the company,"great, company"
602,Some interesting work and an opportunity to improve existing processes.,3,Some interesting work and an opportunity to improve existing processes.,some interesting work and an opportunity to improve existing processes ,work
603,"Great work from home policy, flexibility with working hours (I've been in the role for > 3 years and have stayed past 5 PM about 5 times), direct manager is great (this really depends on the team you work on) but senior management leaves much to be desired.",4,"Great work from home policy, flexibility with working hours (I've been in the role for > years and have stayed past PM about times), direct manager is great (this really depends on the team you work on) but senior management leaves much to be desired.",great work from home policy flexibility with working hours i ve been in the role for years and have stayed past pm about times direct manager is great this really depends on the team you work on but senior management leaves much to be desired ,"management, home, senior, work, hours, great, working"
604,Consistency and job security. Lots of philanthropic work.,1,Consistency and job security. Lots of philanthropic work.,consistency and job security lots of philanthropic work ,
605,"good team atmosphere, intellectual challenging work",1,"good team atmosphere, intellectual challenging work",good team atmosphere intellectual challenging work,work
606,Good work life balance Very collegial environment,2,Good work life balance Very collegial environment,good work life balance very collegial environment,"environment, work, balance"
607,Long Term Employment Opportunities. Great Benefits. Work Life Balance. Highly Collaborative Environment. Reasonable Management. New Offices. Rewards match efforts.,4,Long Term Employment Opportunities. Great Benefits. Work Life Balance. Highly Collaborative Environment. Reasonable Management. New Offices. Rewards match efforts.,long term employment opportunities great benefits work life balance highly collaborative environment reasonable management new offices rewards match efforts ,
608,"Excellent benefits, compensation and great opportunities depending on the team.",3,"Excellent benefits, compensation and great opportunities depending on the team.",excellent benefits compensation and great opportunities depending on the team ,"compensation, great"
609,"Work life balance, analytical work",4,"Work life balance, analytical work",work life balance analytical work,work
610,"Strong presence in ratings industry, giving senior people good public exposure. An excellent place to learn about credit and beyond. A fairly flexible working environment (no rigid working hours).",3,"Strong presence in ratings industry, giving senior people good public exposure. An excellent place to learn about credit and beyond. A fairly flexible working environment (no rigid working hours).",strong presence in ratings industry giving senior people good public exposure an excellent place to learn about credit and beyond a fairly flexible working environment no rigid working hours ,"flexible, place, people, senior, environment, working"
611,"Team work oriented, great learning environment, work with people who are passionate about their work, great work life balance",3,"Team work oriented, great learning environment, work with people who are passionate about their work, great work life balance",team work oriented great learning environment work with people who are passionate about their work great work life balance,"great, work, balance, people"
612,Moody's is initiating a lot of innovative ideas in 2017.,3,Moody's is initiating a lot of innovative ideas in .,moody s is initiating a lot of innovative ideas in ,
613,"Great culture, smart people, solid compensation.",4,"Great culture, smart people, solid compensation.",great culture smart people solid compensation ,smart
614,"The company and the teams are great, smart people, high level discussions, learned a lot. Diverse environment, flexible hours, good benefits.",1,"The company and the teams are great, smart people, high level discussions, learned a lot. Diverse environment, flexible hours, good benefits.",the company and the teams are great smart people high level discussions learned a lot diverse environment flexible hours good benefits ,"smart, flexible, company"
615,Overall good place to work. Very financially stable company. Benefits and bonuses are mostly average. Great diversity initiatives by the head of diversity and inclusion. The company takes diversity very seriously which is a big plus. A pretty fair work environment.,1,Overall good place to work. Very financially stable company. Benefits and bonuses are mostly average. Great diversity initiatives by the head of diversity and inclusion. The company takes diversity very seriously which is a big plus. A pretty fair work environment.,overall good place to work very financially stable company benefits and bonuses are mostly average great diversity initiatives by the head of diversity and inclusion the company takes diversity very seriously which is a big plus a pretty fair work environment ,"work, place, company"
616,"Good work environment, Friendly and courteous team leaders.",2,"Good work environment, Friendly and courteous team leaders.",good work environment friendly and courteous team leaders ,work
617,Employee friendly with good work culture,4,Employee friendly with good work culture,employee friendly with good work culture,"culture, work, friendly"
618,"Comfortable, Work-life balance is good, paternity and maternity policy is good as well as other benefits.",3,"Comfortable, Work-life balance is good, paternity and maternity policy is good as well as other benefits.",comfortable work life balance is good paternity and maternity policy is good as well as other benefits ,balance
619,Friendly and relaxed environment Great opportunities to learn for junior people,4,Friendly and relaxed environment Great opportunities to learn for junior people,friendly and relaxed environment great opportunities to learn for junior people,"environment, people"
620,"Flexible, good, learning curve for fresher",3,"Flexible, good, learning curve for fresher",flexible good learning curve for fresher,
621,"Great colleagues, interesting work, not crazy hours, flexible work-at-home arrangements, life-work balance",3,"Great colleagues, interesting work, not crazy hours, flexible work-at-home arrangements, life-work balance",great colleagues interesting work not crazy hours flexible work at home arrangements life work balance,"flexible, balance"
622,Very collaborative Smart and experienced people High level exposure Flexible work culture Mobility arrangement Improving IT system Multicultural and inclusive workforce Good pay,3,Very collaborative Smart and experienced people High level exposure Flexible work culture Mobility arrangement Improving IT system Multicultural and inclusive workforce Good pay,very collaborative smart and experienced people high level exposure flexible work culture mobility arrangement improving it system multicultural and inclusive workforce good pay,"culture, work, pay, people"
623,"Flexible, not stressful, friendly colleagues",4,"Flexible, not stressful, friendly colleagues",flexible not stressful friendly colleagues,friendly
624,Flexible working schedule. People are very nice and helpful. You can learn a lot while working there. And lots of opportunities to move around,1,Flexible working schedule. People are very nice and helpful. You can learn a lot while working there. And lots of opportunities to move around,flexible working schedule people are very nice and helpful you can learn a lot while working there and lots of opportunities to move around,working
625,"Grrat company , great opportunities and work environment",1,"Grrat company , great opportunities and work environment",grrat company great opportunities and work environment,"great, work, environment, company"
626,leader in to credit rating operation,2,leader in to credit rating operation,leader in to credit rating operation,
627,"Lots of smart, interesting and nice people to work with. Good opportunities for those with excellent analytic skills.",4,"Lots of smart, interesting and nice people to work with. Good opportunities for those with excellent analytic skills.",lots of smart interesting and nice people to work with good opportunities for those with excellent analytic skills ,"work, people"
628,- Work life balance - Good healthcare - Laid back environment - internal movement encouraged,3,- Work life balance - Good healthcare - Laid back environment - internal movement encouraged, work life balance good healthcare laid back environment internal movement encouraged,"environment, balance"
629,"Good work life balance, good management - true open door policy",4,"Good work life balance, good management - true open door policy",good work life balance good management true open door policy,"work, management"
630,1. Work/life balance 2. Opinion/work appreciated and valued by market participants 3. Great support from middle-management 4. Job security 5. Effort is well compensated 6. In the forefront of credit markets 7. Many experienced coworkers,3,. Work/life balance . Opinion/work appreciated and valued by market participants . Great support from middle-management . Job security . Effort is well compensated . In the forefront of credit markets . Many experienced coworkers, work life balance opinion work appreciated and valued by market participants great support from middle management job security effort is well compensated in the forefront of credit markets many experienced coworkers,balance
631,"Plena igualdade entre homens e mulheres, contato com varios setores, bom para o curriculo, salarios acima do mercado, flexibilidade de horario, dificil ser demitido",3,"Plena igualdade entre homens e mulheres, contato com varios setores, bom para o curriculo, salarios acima do mercado, flexibilidade de horario, dificil ser demitido",plena igualdade entre homens e mulheres contato com varios setores bom para o curriculo salarios acima do mercado flexibilidade de horario dificil ser demitido,
632,Excellent experience getting foot-in-the-door. Great learning curve and amazing people.,3,Excellent experience getting foot-in-the-door. Great learning curve and amazing people.,excellent experience getting foot in the door great learning curve and amazing people ,
633,"Colleagues of high calibre, opportunity to learn a lot",4,"Colleagues of high calibre, opportunity to learn a lot",colleagues of high calibre opportunity to learn a lot,
634,Good hikes and good talents,1,Good hikes and good talents,good hikes and good talents,
635,Good work life balance. Exceptional compensation.,1,Good work life balance. Exceptional compensation.,good work life balance exceptional compensation ,work
636,La dirección se preocupa por premiar e incentivar a los buenos empleados. La cultura es genial.,2,La dirección se preocupa por premiar e incentivar a los buenos empleados. La cultura es genial.,la dirección se preocupa por premiar e incentivar a los buenos empleados la cultura es genial ,
637,nice culture within the staff,4,nice culture within the staff,nice culture within the staff,culture
638,For the most part Moody's employees have a significantly better work life balance than other parts of the financial industry. While the hours can at time be long and perhaps occasionally include weekends it is much lower than at banks for equivalent roles. Furthermore the company promotes working remotely initiatives and in general is the most open and diverse employer I have worked for.,3,For the most part Moody's employees have a significantly better work life balance than other parts of the financial industry. While the hours can at time be long and perhaps occasionally include weekends it is much lower than at banks for equivalent roles. Furthermore the company promotes working remotely initiatives and in general is the most open and diverse employer I have worked for.,for the most part moody s employees have a significantly better work life balance than other parts of the financial industry while the hours can at time be long and perhaps occasionally include weekends it is much lower than at banks for equivalent roles furthermore the company promotes working remotely initiatives and in general is the most open and diverse employer i have worked for ,"balance, company, work, hours, working"
639,People are encouraging of you taking new challenges and opportunities. Fairly good work life balance.,4,People are encouraging of you taking new challenges and opportunities. Fairly good work life balance.,people are encouraging of you taking new challenges and opportunities fairly good work life balance ,work
640,"Upper level management with legitimate open door policies Ability to work from home encouraged Excellent internal mobility Over time available to compensate for less than standard entry level salaries for the industry Upper level management encourages team-team mingling Constant opportunity for training, learning and exposure to other company facets They pay for CFA/grad school as well as offer various other... perks that come with big companies such as movies, memberships, travel etc. Time allotted for extracurriculars/volunteering Decent vacation package Unlimited sick days Generous 401K match On site breakfast and lunch cafeteria Most people and friendly and easy to get along with. A few sour and uninviting coworkers but you will find that everywhere Job stability I've found that managers tend to always defend and give the benefit of the doubt to their team The job mirrors the market so everyday is something new. As my first job out of college I have learned more than the past 4 years and have so much exposure to senior management as an entry level employee. The work itself is interesting in that issuing ratings require both quantitative and qualitative thinking",3,"Upper level management with legitimate open door policies Ability to work from home encouraged Excellent internal mobility Over time available to compensate for less than standard entry level salaries for the industry Upper level management encourages team-team mingling Constant opportunity for training, learning and exposure to other company facets They pay for CFA/grad school as well as offer various other... perks that come with big companies such as movies, memberships, travel etc. Time allotted for extracurriculars/volunteering Decent vacation package Unlimited sick days Generous K match On site breakfast and lunch cafeteria Most people and friendly and easy to get along with. A few sour and uninviting coworkers but you will find that everywhere Job stability I've found that managers tend to always defend and give the benefit of the doubt to their team The job mirrors the market so everyday is something new. As my first job out of college I have learned more than the past years and have so much exposure to senior management as an entry level employee. The work itself is interesting in that issuing ratings require both quantitative and qualitative thinking",upper level management with legitimate open door policies ability to work from home encouraged excellent internal mobility over time available to compensate for less than standard entry level salaries for the industry upper level management encourages team team mingling constant opportunity for training learning and exposure to other company facets they pay for cfa grad school as well as offer various other perks that come with big companies such as movies memberships travel etc time allotted for extracurriculars volunteering decent vacation package unlimited sick days generous k match on site breakfast and lunch cafeteria most people and friendly and easy to get along with a few sour and uninviting coworkers but you will find that everywhere job stability i ve found that managers tend to always defend and give the benefit of the doubt to their team the job mirrors the market so everyday is something new as my first job out of college i have learned more than the past years and have so much exposure to senior management as an entry level employee the work itself is interesting in that issuing ratings require both quantitative and qualitative thinking,"friendly, people, company, management, pay, home, senior, work"
641,Good work-life balance. Great benefits.,3,Good work-life balance. Great benefits.,good work life balance great benefits ,
642,"nice office, organized good team work",3,"nice office, organized good team work",nice office organized good team work,work
643,Work/life balance Great work environment Decent pay,4,Work/life balance Great work environment Decent pay,work life balance great work environment decent pay,"environment, work, balance, pay"
644,Great Environment to learn things,1,Great Environment to learn things,great environment to learn things,
645,good perks and work home balance,1,good perks and work home balance,good perks and work home balance,"work, balance, home"
646,"Good business, good integrity vs banks, respect different views and opinions, a good number of locations to choose from.",2,"Good business, good integrity vs banks, respect different views and opinions, a good number of locations to choose from.",good business good integrity vs banks respect different views and opinions a good number of locations to choose from ,
647,"Good company to work for, great community involvement and events",4,"Good company to work for, great community involvement and events",good company to work for great community involvement and events,"great, work, company"
648,respect for friends and colleagues,3,respect for friends and colleagues,respect for friends and colleagues,
649,Great work life balance and Culture,4,Great work life balance and Culture,great work life balance and culture,"work, balance"
651,Good work life balance overall,3,Good work life balance overall,good work life balance overall,"work, balance"
652,"Collegial Environment , Strong Businesses and Good Growth",3,"Collegial Environment , Strong Businesses and Good Growth",collegial environment strong businesses and good growth,
653,"Great culture, work life balance, opportunity for advancement",4,"Great culture, work life balance, opportunity for advancement",great culture work life balance opportunity for advancement,work
654,"It's a great place to start your career, if you are looking for a friendly environment where you can learn and contribute.",1,"It's a great place to start your career, if you are looking for a friendly environment where you can learn and contribute.",it s a great place to start your career if you are looking for a friendly environment where you can learn and contribute ,"friendly, environment, place, great"
655,Good exit options Smart and motivated colleagues Very collegial environment Good work/life balance,1,Good exit options Smart and motivated colleagues Very collegial environment Good work/life balance,good exit options smart and motivated colleagues very collegial environment good work life balance,"options, environment, balance"
656,"The work life balance is good. It fair about working remotely arrangements. With that being said, some teams/managers are more open towards it than others. Moody's has a strong diversity and inclusion environemnt. They offer numerous volunteer events and D&I events through several ERGs. The office building itself is beautiful and the office is pretty nice. The desks and cubicles are nicer than your typical gray... office cubicle. However, there is no free coffee bar with an awesome barista or gym. There is one cafeteria and a pantry on every floor. For the most part, the people are nice and intelligent. 9/10 times, if you need help, there will be someone there to help you or give you advice. For the most part managers are willing to work with you to help you out , or put you on a high visibility project. It is a small to medium size company so you can have more visibility to the C-suite.",2,"The work life balance is good. It fair about working remotely arrangements. With that being said, some teams/managers are more open towards it than others. Moody's has a strong diversity and inclusion environemnt. They offer numerous volunteer events and D&I events through several ERGs. The office building itself is beautiful and the office is pretty nice. The desks and cubicles are nicer than your typical gray... office cubicle. However, there is no free coffee bar with an awesome barista or gym. There is one cafeteria and a pantry on every floor. For the most part, the people are nice and intelligent. / times, if you need help, there will be someone there to help you or give you advice. For the most part managers are willing to work with you to help you out , or put you on a high visibility project. It is a small to medium size company so you can have more visibility to the C-suite.",the work life balance is good it fair about working remotely arrangements with that being said some teams managers are more open towards it than others moody s has a strong diversity and inclusion environemnt they offer numerous volunteer events and d i events through several ergs the office building itself is beautiful and the office is pretty nice the desks and cubicles are nicer than your typical gray office cubicle however there is no free coffee bar with an awesome barista or gym there is one cafeteria and a pantry on every floor for the most part the people are nice and intelligent times if you need help there will be someone there to help you or give you advice for the most part managers are willing to work with you to help you out or put you on a high visibility project it is a small to medium size company so you can have more visibility to the c suite ,"balance, company, people, work, free, working"
657,"Good start of career, getting to know the corporate fast pace, getting to multitask and learn how to cope under pressure, supporting staff and management.",4,"Good start of career, getting to know the corporate fast pace, getting to multitask and learn how to cope under pressure, supporting staff and management.",good start of career getting to know the corporate fast pace getting to multitask and learn how to cope under pressure supporting staff and management ,fast
658,Top rating agency in the world,3,Top rating agency in the world,top rating agency in the world,
659,- Open and friendly culture - Flexible working hours - Encourages learning,4,- Open and friendly culture - Flexible working hours - Encourages learning, open and friendly culture flexible working hours encourages learning,"culture, hours, friendly, working"
660,Valuable experience and sense of community,3,Valuable experience and sense of community,valuable experience and sense of community,
661,Copal Partners has been the stepping stone in my career and provided a lot of opportunities. The vision of the co-founders Rishi and Joel helped grow the company and achieve tremendous heights within a short span of time,3,Copal Partners has been the stepping stone in my career and provided a lot of opportunities. The vision of the co-founders Rishi and Joel helped grow the company and achieve tremendous heights within a short span of time,copal partners has been the stepping stone in my career and provided a lot of opportunities the vision of the co founders rishi and joel helped grow the company and achieve tremendous heights within a short span of time,company
662,Work life balance is is good Benefits are good,3,Work life balance is is good Benefits are good,work life balance is is good benefits are good,balance
663,Friendly environment Lot to learn Good life balance,4,Friendly environment Lot to learn Good life balance,friendly environment lot to learn good life balance,"environment, balance"
664,Nice Environment to work on,1,Nice Environment to work on,nice environment to work on,work
665,You can earn a lot of responsibility early,1,You can earn a lot of responsibility early,you can earn a lot of responsibility early,
666,"Many nice people with good integrity, work ethics and knowledge.",2,"Many nice people with good integrity, work ethics and knowledge.",many nice people with good integrity work ethics and knowledge ,"work, people"
667,flexible work place and worklife balance,4,flexible work place and worklife balance,flexible work place and worklife balance,"work, flexible, balance, place"
668,Good learning Positive environment Good guidance,3,Good learning Positive environment Good guidance,good learning positive environment good guidance,environment
669,The flexibility and the benefit s are great,4,The flexibility and the benefit s are great,the flexibility and the benefit s are great,great
670,the Moody's culture is good,3,the Moody's culture is good,the moody s culture is good,culture
671,"Good company, Good salary, Good environment",3,"Good company, Good salary, Good environment",good company good salary good environment,environment
672,"Good Company, nice location, nice infrastructure",3,"Good Company, nice location, nice infrastructure",good company nice location nice infrastructure,
673,"Open Door Policy, Flexibility, Payscale",4,"Open Door Policy, Flexibility, Payscale",open door policy flexibility payscale,
674,Work life balance is valued Great benefits package Above-average opportunities for employee development,1,Work life balance is valued Great benefits package Above-average opportunities for employee development,work life balance is valued great benefits package above average opportunities for employee development,"balance, benefits"
675,"Company itself has solid business leadership, and good outlook, work/life balance, smart & talented people.",1,"Company itself has solid business leadership, and good outlook, work/life balance, smart & talented people.",company itself has solid business leadership and good outlook work life balance smart talented people ,"smart, talented"
676,-Great work life balance -Great culture,2,-Great work life balance -Great culture, great work life balance great culture,"culture, work, balance"
677,- International environment with international staff in Frankfurt and collaboration worldwide - Decent work life balance for financial industry - Challenging tasks and competent workforce,4,- International environment with international staff in Frankfurt and collaboration worldwide - Decent work life balance for financial industry - Challenging tasks and competent workforce, international environment with international staff in frankfurt and collaboration worldwide decent work life balance for financial industry challenging tasks and competent workforce,"environment, work, balance"
678,"Good location, good prescription and medical coverage.",3,"Good location, good prescription and medical coverage.",good location good prescription and medical coverage ,
679,"Very transparent communication to the employees, all the way from the top; Very collaborative culture, which enable you to focus on work rather than politics; Stable management and strategy; Good work life balance; Decent pay",4,"Very transparent communication to the employees, all the way from the top; Very collaborative culture, which enable you to focus on work rather than politics; Stable management and strategy; Good work life balance; Decent pay",very transparent communication to the employees all the way from the top very collaborative culture which enable you to focus on work rather than politics stable management and strategy good work life balance decent pay,"work, management, pay"
680,"professional operations, nice and smart colleagues",3,"professional operations, nice and smart colleagues",professional operations nice and smart colleagues,smart
681,pay benefit insurance coworkers exposure,3,pay benefit insurance coworkers exposure,pay benefit insurance coworkers exposure,"pay, insurance"
682,Collaboration. Academic environment. Challenging.,3,Collaboration. Academic environment. Challenging.,collaboration academic environment challenging ,
683,smart people and great work,4,smart people and great work,smart people and great work,"great, smart, work, people"
684,Great work life balance and pretty good pay for how laid back it is and very good exit opportunities,1,Great work life balance and pretty good pay for how laid back it is and very good exit opportunities,great work life balance and pretty good pay for how laid back it is and very good exit opportunities,"work, balance, pay"
